Sample,IMR,APSM,ADMSM,ATSA,AMW,AMV,SMSP3,SMRB,SHBA,MVDC,MSTV,TSEVP,MALIB,MSEP
128.0,0.7948771152726206,4.240238694675138,0.7624516920955534,-0.4785184626742056,0.2991903450732159,1.4877783876560189,-4.021557301678823,-2.033757375646282,-0.4785184587281177,0.8138039557711182,0.625497384731989,-2.206112409071453,0.1157978533108758,-0.0313605942832728
304.0,-1.5261757514576806,4.763775277594991,2.419289158400976,2.7498589724561,0.4309882394083378,1.9657920163694695,-3.404965665582086,-0.6741807073557433,2.7498589753610703,0.2429845302593967,-0.0927807669687802,-2.6046971511294883,2.6557862092416915,0.637183962558779
332.0,0.1275744116500969,2.868102531693625,3.9419465113563055,4.25327003315382,3.181430944322925,3.811237737293128,1.565136607484927,4.313177271985035,4.25327003284495,-0.3165756902354773,3.260271536636639,-2.7366740987224145,0.7093238691382071,-0.8920049396003001
655.0,-1.985550791130396,1.2935326666009168,-1.4532071688690575,-1.7979594835320842,-4.0921567365477385,-3.127955372695537,-4.388631745421407,-2.059557923512485,-1.797959483209637,-0.9002092559400368,-0.3245415587368666,-1.106257570336227,2.26585403119722,2.592429023602724
719.0,-0.4761756462871875,-0.4207823116974203,3.2291691787522505,1.9480397385854575,2.753867037430408,2.249457157770111,1.565136607484927,1.3719148740631026,1.9480397433198624,0.7099715209650628,-0.4677746202339543,3.103701535656177,0.9544275231470402,-3.13515026029813
1174.0,-1.5261757514576806,4.531479073144792,1.6736797302574635,1.2464479117583809,0.3561254353158334,1.785592180478008,-3.759972973522881,-1.3562125678286912,1.246447910961498,2.440870829792229,0.1652074831831916,-2.4147588827773503,1.6305327867960937,0.2447239026874254
1214.0,0.7948771152726206,2.2307827334901384,3.063007608346988,2.069367652769384,3.615195507935989,3.9031050871704505,1.565136607484927,3.848767420197583,2.0693676489270616,1.8855056705349047,3.96509275072883,-2.438044965592039,-0.7546376839956844,-2.0201402931789447
2057.0,1.5363245468370912,-2.4400449318938877,1.4994807867316695,0.0270144943605943,1.332157283717606,0.2817006887975555,1.565136607484927,-0.5889267245515192,0.0270144985911087,2.233672390498497,-2.331223675169754,3.608553767641452,0.9697636799700854,-1.48500369747687
2738.0,-0.4761756462871875,0.6925358455173922,1.3690861127117997,-0.0278719349805147,3.3091956194541154,3.141696213195808,1.565136607484927,2.772516015370449,-0.0278719373677522,2.9982950453526422,3.6891482988316575,-1.8173075571705772,-1.4811698338522843,-1.9177066625600163
3138.0,-0.4761756462871875,1.3917256512897755,2.9002252990302866,0.9600838980561612,3.6711845371235614,3.682715766126306,1.565136607484927,3.0526362440240877,0.9600839029760552,4.204078097041466,3.045348861139792,-2.050595682038181,-0.3135575263352672,-2.570698412151649
