Sample,LiFSI,LiDFOB,LiBF4,DME,DEE,DMP,DEGDME,TTE,BTFE,BDE,HFE,TFEPE,B,TFMOB,LiPO2F2,LiNO3,FEC,VC
32160,1,,,0.6,,0.6,0.6,,,,,1.0,1.0,0.8,,,,
32712,1,,,0.6,0.6,0.4,,,0.8,,0.8,,,0.8,,,,
32922,1,,,0.4,0.6,0.4,,,0.8,,0.8,,0.8,,,,,
34928,1,,,0.3,0.3,0.5,0.5,,,1.0,0.8,0.8,,,,,,
34944,1,,,0.3,0.5,0.5,0.3,0.8,,,,,1.0,0.8,,,,
35164,1,,,0.3,0.5,0.5,0.5,1.0,,,,1.0,,0.8,,,,
35814,1,,,,,,1.6,0.7,0.7,0.7,0.7,,,,,,,
36254,1,,,,,1.4,,0.5,0.7,,0.7,0.7,,,,,,
36549,1,,,,1.2,,,,,,0.7,0.7,0.5,0.7,,,,
36805,1,,,,,1.6,,0.7,0.5,,,0.5,0.5,,,,,
37042,1,,,,,1.8,,,,0.5,0.5,,0.5,0.5,,,,
38139,1,,,,,,1.4,,,0.7,,0.7,0.5,0.5,,,,
38393,1,,,,,,1.8,,,,0.7,0.7,0.5,0.7,,,,
40039,1,,,0.7,0.8,,,0.7,,,0.7,0.5,0.7,,,,,
41417,1,,,0.8,,,0.5,0.7,0.5,0.5,,0.7,,,,,,
41825,1,,,,0.8,0.8,,0.5,0.7,0.5,,,,0.7,,,,
42549,1,,,0.7,,0.8,,,0.7,0.5,,0.7,,0.7,,,,
42850,1,,,,0.7,,0.7,0.7,0.7,0.5,0.5,,,,,,,
42948,1,,,,0.8,0.8,,0.7,,,0.5,0.7,,0.7,,,,
43099,1,,,1.0,,,0.7,,,0.5,,0.5,0.5,0.5,,,,
44448,1,,,0.5,,0.8,,,,0.7,0.7,,0.7,0.5,,,,
44453,1,,,,,0.5,1.0,,0.5,0.5,0.5,0.7,,,,,,
45100,1,,,1.0,,,1.0,0.5,0.7,0.7,,,,0.7,,,,
45932,1,,,,0.5,0.8,,0.5,0.5,,0.7,0.5,,,,,,
46633,1,,,,,1.0,0.7,0.5,,0.7,,0.5,,0.7,,,,
50642,1,,,,0.7,,1.0,,0.7,0.5,0.5,,0.5,,,,,
51736,1,,,,0.5,0.5,0.7,0.5,0.7,,0.5,,,0.7,,,,
52429,1,,,0.7,,0.7,0.5,,,0.7,0.7,,0.5,0.5,,,,
53267,1,,,,0.5,0.5,0.5,0.7,,0.7,,0.5,,0.5,,,,
53593,1,,,0.5,0.7,0.7,,,0.5,,,0.5,0.7,0.5,,,,
53963,1,,,0.7,0.7,,0.5,,,,0.5,0.7,0.5,0.7,,,,
54709,1,,,0.5,0.7,0.7,,0.7,,,0.7,0.7,0.7,,,,,
54748,1,,,0.5,,0.5,0.5,0.7,,0.7,0.5,,0.7,,,,,
55082,1,,,0.5,0.5,,0.5,,,,0.7,0.7,0.5,0.7,,,,
55996,1,,,0.5,0.3,0.3,0.5,0.5,,,,0.6,0.6,0.6,,,,
56240,1,,,0.5,0.5,0.5,0.5,0.6,,,0.6,,0.5,0.5,,,,
56445,1,,,0.5,0.3,0.5,0.3,0.5,0.5,0.6,,0.5,,,,,,
56834,1,,,0.3,0.3,0.5,0.3,,0.5,0.5,0.6,,,0.6,,,,
57351,1,,,0.5,0.5,0.3,0.3,,,0.5,0.6,0.5,,0.5,,,,
57911,1,,,0.3,0.5,0.3,0.5,0.5,0.6,0.5,0.5,,,,,,,
58101,1,,,0.5,0.3,0.3,0.5,,0.5,0.5,,0.5,0.6,,,,,
58118,1,,,0.5,0.5,0.3,0.5,,,0.6,,0.6,0.5,0.6,,,,
58675,1,,,,2.0,,,0.6,0.6,0.4,,,0.4,0.6,,,,
59839,1,,,,,,1.4,0.6,,0.6,0.4,0.4,0.4,,,,,
60195,1,,,,,1.4,,0.4,0.4,0.6,,,0.6,0.6,,,,
62505,1,,,,0.6,0.8,,0.6,,0.4,0.4,0.6,0.6,,,,,
62592,1,,,0.8,,0.8,,0.4,0.6,,0.4,0.6,,0.4,,,,
62912,1,,,0.6,,0.6,,0.6,0.4,0.4,0.4,,,0.6,,,,
62941,1,,,0.6,,,0.8,0.6,,0.6,0.4,,0.4,0.4,,,,
64310,1,,,,1.0,,1.0,0.6,0.6,0.4,0.6,,,0.6,,,,
65677,1,,,,0.6,,1.0,0.6,,0.4,,0.4,0.4,0.4,,,,
67483,1,,,,,0.8,1.0,0.6,,,0.6,0.6,0.4,0.6,,,,
67816,1,,,,,1.0,1.0,0.4,0.4,0.6,,,0.6,0.4,,,,
68325,1,,,0.8,,0.6,,0.4,,0.6,0.6,0.4,0.6,,,,,
69071,1,,,,0.4,0.6,0.6,,0.4,0.6,0.4,,0.6,0.4,,,,
71689,1,,,0.6,0.4,0.6,,0.6,0.6,,0.4,0.4,0.6,,,,,
72153,1,,,0.4,0.6,,0.6,,0.4,0.4,0.4,0.6,,0.6,,,,
73899,1,,,0.4,0.4,0.4,0.4,,0.5,0.5,0.4,0.4,,0.4,,,,
76832,1,,,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,,,,,,
77874,1,,,0.5,0.4,0.5,0.4,0.4,0.5,,,0.4,0.5,0.4,,,,
78384,1,,,0.4,0.4,0.5,0.5,0.5,,0.4,,0.5,0.5,0.4,,,,
78480,1,,,0.4,0.5,0.5,0.5,0.4,,,0.4,0.4,0.5,0.4,,,,
78482,1,,,0.5,0.4,0.5,0.4,0.4,,0.4,0.4,,0.5,0.4,,,,
78755,1,,,0.5,0.5,0.5,0.4,,0.5,0.5,,0.4,0.4,0.4,,,,
79616,1,,,0.5,0.4,0.5,0.4,0.5,,0.4,0.4,0.5,,0.4,,,,
81266,1,,,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,,,0.5,,,,
81389,1,,,,,,1.4,0.5,0.5,,0.4,0.4,0.5,0.4,,,,
82006,1,,,,,1.4,,0.5,0.5,0.5,0.4,0.5,0.5,,,,,
83157,1,,,,,,1.6,,0.5,0.5,0.4,0.4,0.4,0.4,,,,
84530,1,,,,,,1.6,0.4,0.4,0.5,0.4,0.4,,0.4,,,,
84879,1,,,,,1.4,,0.4,0.5,0.4,,0.5,0.4,0.5,,,,
85348,1,,,,,1.6,,0.5,0.4,0.5,0.5,0.5,,0.5,,,,
85896,1,,,1.6,,,,0.4,0.4,0.5,0.4,,0.4,0.5,,,,
86597,1,,,,1.8,,,,0.4,0.5,0.4,0.5,0.5,0.4,,,,
86757,1,,,1.8,,,,0.4,0.4,0.5,0.5,0.4,0.5,,,,,
87164,1,,,1.0,,,,0.4,0.4,0.5,0.4,0.5,0.4,,,,,
88358,1,,,0.7,0.5,,,0.5,0.4,0.5,0.5,0.4,,0.4,,,,
88729,1,,,0.5,,,1.0,0.4,0.4,0.5,,0.4,0.4,0.5,,,,
89033,1,,,0.5,,1.0,,0.4,0.5,,0.5,0.4,0.5,0.4,,,,
89444,1,,,1.0,1.0,,,0.4,0.4,0.5,,0.4,0.5,0.5,,,,
89672,1,,,,,1.0,0.7,0.5,0.4,0.4,,0.4,0.5,0.4,,,,
89799,1,,,,,0.7,0.7,0.4,0.4,0.4,,0.4,0.4,0.5,,,,
90801,1,,,0.5,,0.7,,0.4,0.4,0.5,,0.4,0.4,0.5,,,,
93536,1,,,,0.7,0.5,,0.4,0.5,0.4,0.4,0.5,,0.5,,,,
93897,1,,,0.7,0.7,,,0.4,0.4,0.4,,0.4,0.5,0.4,,,,
96067,1,,,0.7,,0.7,,0.5,0.5,0.4,,0.5,0.5,0.4,,,,
96499,1,,,,0.7,,0.5,0.4,0.4,0.5,0.5,0.4,,0.4,,,,
97304,1,,,,0.7,0.5,,0.4,0.4,0.4,0.5,0.5,,0.4,,,,
99412,1,,,0.5,0.5,,0.5,0.4,0.4,0.4,0.5,0.5,,0.5,,,,
100054,1,,,0.5,0.5,0.5,,0.5,0.5,0.4,0.5,0.4,0.4,,,,,
100534,1,,,,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,,0.4,,,,
101132,1,,,0.5,0.5,0.5,,0.5,0.4,0.4,0.5,,0.4,0.4,,,,
101492,1,,,,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.4,,,,,
102475,1,,,,0.5,0.5,0.5,0.5,0.5,0.4,0.5,,0.5,0.5,,,,
104784,1,,,,0.4,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.4,,,,
105122,1,,,0.4,0.4,,0.5,0.5,0.5,,0.4,0.4,0.5,0.4,,,,
106719,1,,,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,,,,,
106880,1,,,0.4,0.4,0.5,0.4,,0.4,0.5,0.5,0.5,0.5,0.4,,,,
107386,1,,,0.5,0.4,0.5,0.4,0.4,,0.4,0.4,0.5,0.5,0.4,,,,
107555,1,,,0.5,0.4,0.5,0.5,,0.4,0.5,0.5,0.5,0.5,0.5,,,,
108187,1,,,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,,0.5,0.4,,,,
109934,1,,,0.4,0.4,0.4,0.4,0.4,,0.5,0.5,0.4,0.5,0.4,,,,
110954,1,,,0.4,0.5,0.5,0.4,,0.5,0.5,0.5,0.4,0.5,0.5,,,,
111466,1,,,0.4,0.5,0.5,0.5,0.5,0.5,,0.4,0.4,0.5,0.4,,,,
112623,1,,,,,1.8,,0.3,0.3,0.4,0.3,0.3,0.3,0.3,,,,
113331,1,,,,,,2.0,0.4,0.4,0.3,0.4,0.4,0.3,0.3,,,,
114518,1,,,,,,1.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,,,,
116383,1,,,0.6,0.6,,,0.3,0.4,0.4,0.4,0.3,0.3,0.3,,,,
122990,1,,,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.3,,,,
124193,1,,,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.4,,,,
